CSE,ECE,CIVIL,MECH,AGRI
XYZ2675,XYZ4861,XYZ0258,XYZ1468,XYZ1602
XYZ0897,,XYZ1836,XYZ3437,
XYZ1108,,XYZ0025,XYZ0520,
XYZ3780,,XYZ0541,XYZ1000,
XYZ0486,,XYZ1694,XYZ1014,
XYZ0591,,XYZ2746,XYZ2294,
XYZ1966,,XYZ0479,XYZ1267,
XYZ3503,,XYZ0156,XYZ1574,
XYZ1404,,XYZ2856,XYZ3980,
XYZ4310,,XYZ4484,XYZ4854,
XYZ4168,,XYZ2867,XYZ3775,
XYZ0801,,XYZ4913,XYZ4915,
XYZ1242,,XYZ4210,XYZ2361,
XYZ0153,,XYZ3868,XYZ3285,
XYZ4003,,,XYZ1947,
XYZ0084,,,XYZ0029,
XYZ1043,,,XYZ4593,
XYZ1854,,,XYZ1986,
XYZ0611,,,XYZ0418,
XYZ3705,,,XYZ2406,
XYZ4777,,,XYZ0123,
XYZ3721,,,XYZ2970,
XYZ0832,,,XYZ2817,
XYZ1749,,,XYZ3712,
XYZ1421,,,XYZ4556,
XYZ4449,,,XYZ2372,
XYZ2140,,,XYZ2604,
XYZ1289,,,XYZ4876,
XYZ1075,,,XYZ4773,
XYZ4210,,,XYZ1280,
XYZ2179,,,XYZ0926,
XYZ4598,,,XYZ1503,
XYZ0793,,,XYZ0990,
XYZ3465,,,XYZ2925,
XYZ4305,,,XYZ1425,
XYZ0294,,,XYZ3350,
XYZ1737,,,XYZ4873,
XYZ4350,,,XYZ1518,
XYZ3170,,,XYZ1056,
XYZ4351,,,XYZ4422,
XYZ3098,,,XYZ0871,
XYZ3845,,,XYZ0534,
XYZ2154,,,XYZ4663,
XYZ3644,,,XYZ4565,
XYZ0798,,,XYZ0261,
XYZ0290,,,XYZ2369,
XYZ2381,,,XYZ4773,
XYZ0779,,,XYZ2948,
XYZ1350,,,XYZ1395,
XYZ1245,,,XYZ1498,
XYZ2740,,,XYZ1201,
XYZ3297,,,XYZ3659,
XYZ0481,,,XYZ3496,
XYZ1071,,,XYZ1769,
XYZ0867,,,XYZ1603,
XYZ0916,,,XYZ1405,
XYZ2843,,,XYZ1243,
XYZ4046,,,XYZ0622,
XYZ3475,,,XYZ3566,
XYZ4283,,,XYZ0329,
