CSE,ECE,CIVIL,MECH,AGRI
XYZ0310,XYZ0465,XYZ0276,XYZ3806,XYZ2683
XYZ4326,XYZ2128,XYZ1147,XYZ2158,XYZ3676
XYZ1786,XYZ1478,XYZ1946,XYZ3183,XYZ3155
XYZ1044,XYZ0137,XYZ3861,XYZ0494,XYZ3682
XYZ4423,XYZ0180,XYZ2808,XYZ4465,XYZ3869
XYZ0365,XYZ1868,XYZ0201,XYZ0563,
XYZ2453,XYZ2803,XYZ0072,XYZ2916,
XYZ2100,XYZ4547,XYZ4416,XYZ4445,
XYZ0017,XYZ2349,XYZ4600,XYZ3900,
XYZ0970,XYZ4339,XYZ0665,XYZ3971,
XYZ2336,XYZ3716,XYZ3624,XYZ1592,
XYZ1961,XYZ1125,XYZ1330,XYZ0506,
XYZ4937,XYZ1785,XYZ4573,XYZ1455,
XYZ2043,XYZ2840,XYZ3086,XYZ0047,
XYZ2369,XYZ3665,XYZ2992,XYZ4907,
XYZ3481,XYZ4689,XYZ1682,XYZ1180,
XYZ3153,XYZ4552,XYZ2298,XYZ1668,
XYZ3037,XYZ4370,XYZ1638,XYZ1973,
XYZ4314,XYZ1517,XYZ0494,XYZ4200,
XYZ0678,XYZ1874,,XYZ0350,
XYZ3814,XYZ1630,,XYZ0493,
XYZ0974,XYZ3114,,XYZ1225,
XYZ4010,XYZ3013,,XYZ2567,
XYZ1931,XYZ1290,,XYZ4011,
XYZ3748,XYZ3325,,,
XYZ3796,XYZ3085,,,
XYZ2672,XYZ4707,,,
XYZ0703,XYZ4817,,,
XYZ0020,XYZ3177,,,
XYZ0740,XYZ0595,,,
XYZ2025,XYZ1846,,,
XYZ2483,XYZ2783,,,
XYZ3751,XYZ1583,,,
XYZ2065,XYZ4960,,,
XYZ2321,XYZ0713,,,
XYZ4133,XYZ0917,,,
XYZ4009,XYZ2810,,,
XYZ2186,XYZ2497,,,
XYZ1309,XYZ4428,,,
XYZ0401,XYZ4085,,,
XYZ4382,XYZ1557,,,
XYZ2038,XYZ4043,,,
XYZ2139,XYZ3138,,,
XYZ2767,XYZ3013,,,
XYZ3674,XYZ3952,,,
XYZ1912,XYZ2411,,,
XYZ4146,XYZ4190,,,
XYZ1446,XYZ4157,,,
XYZ0507,XYZ1375,,,
XYZ2505,XYZ1921,,,
XYZ0575,XYZ0168,,,
XYZ0699,XYZ1338,,,
,XYZ2910,,,
,XYZ4517,,,
,XYZ1399,,,
,XYZ0158,,,
,XYZ2167,,,
