CSE,ECE,CIVIL,MECH,AGRI
XYZ2520,XYZ3025,XYZ3220,XYZ0519,XYZ3373
XYZ0149,XYZ3842,XYZ2094,XYZ0404,XYZ2861
XYZ1332,XYZ3924,XYZ2171,XYZ3527,XYZ2644
XYZ3397,XYZ5001,XYZ2010,XYZ3178,XYZ4040
XYZ4311,XYZ4243,XYZ2936,XYZ0940,XYZ2573
XYZ0313,XYZ3966,XYZ4397,XYZ1117,XYZ3618
XYZ1476,XYZ3622,XYZ0001,XYZ2969,XYZ4221
XYZ2009,XYZ1973,XYZ2067,XYZ2910,XYZ0671
XYZ3953,XYZ4911,XYZ4491,XYZ1393,XYZ0179
XYZ0909,XYZ0234,XYZ4137,XYZ4878,XYZ1216
XYZ1497,,XYZ0213,XYZ3682,XYZ4080
XYZ3505,,XYZ2674,XYZ3472,XYZ2278
XYZ1404,,XYZ2311,XYZ3971,XYZ4715
XYZ3567,,XYZ3888,XYZ4090,XYZ0666
XYZ0545,,XYZ3930,XYZ0577,XYZ4886
XYZ0793,,XYZ0316,XYZ0475,XYZ0320
XYZ1873,,XYZ1397,XYZ4030,XYZ2697
XYZ4822,,XYZ2793,XYZ1328,XYZ3221
XYZ2039,,XYZ0056,XYZ0071,XYZ2947
XYZ0041,,XYZ1300,XYZ3427,XYZ3040
XYZ1279,,XYZ1148,,
XYZ1738,,XYZ0925,,
XYZ3796,,XYZ4847,,
XYZ4395,,XYZ2646,,
XYZ1382,,XYZ1442,,
XYZ4354,,XYZ2743,,
XYZ2375,,XYZ3240,,
XYZ2676,,XYZ1578,,
XYZ2562,,XYZ1604,,
XYZ4868,,XYZ2987,,
XYZ3394,,XYZ2819,,
XYZ4532,,XYZ1011,,
XYZ2643,,XYZ3282,,
XYZ2788,,XYZ4168,,
XYZ4170,,XYZ0922,,
XYZ0727,,XYZ4332,,
XYZ3414,,XYZ2986,,
XYZ2115,,XYZ1512,,
XYZ0637,,XYZ3893,,
XYZ0299,,XYZ2330,,
XYZ3604,,XYZ4002,,
XYZ1044,,XYZ0652,,
XYZ0522,,XYZ0339,,
XYZ2280,,XYZ4159,,
XYZ4393,,XYZ3146,,
XYZ4638,,XYZ4807,,
XYZ0917,,XYZ0476,,
XYZ2450,,XYZ3522,,
XYZ2015,,XYZ4052,,
XYZ4286,,XYZ4703,,
XYZ3495,,XYZ1940,,
XYZ2762,,XYZ0037,,
XYZ0957,,XYZ1010,,
XYZ3911,,XYZ2492,,
XYZ4593,,XYZ0665,,
XYZ2133,,XYZ0432,,
XYZ1453,,XYZ3674,,
XYZ2208,,XYZ2974,,
XYZ4125,,XYZ1068,,
XYZ1164,,XYZ3290,,
XYZ4041,,XYZ0272,,
XYZ4733,,XYZ0298,,
XYZ2941,,XYZ3334,,
XYZ1801,,XYZ2048,,
XYZ2768,,XYZ0292,,
,,XYZ1695,,
,,XYZ4337,,
,,XYZ4162,,
,,XYZ4046,,
,,XYZ4469,,
,,XYZ4820,,
,,XYZ2208,,
,,XYZ3799,,
,,XYZ3328,,
,,XYZ1324,,
,,XYZ3556,,
,,XYZ4551,,
,,XYZ4327,,
,,XYZ0681,,
,,XYZ2821,,
,,XYZ0567,,
,,XYZ3006,,
,,XYZ3463,,
,,XYZ0702,,
